mpg,cylinders,displacement,horsepower,weight,acceleration,age
14.0,8,351.0,153.0,4129,13.0,53
26.0,4,108.0,93.0,2391,15.5,51
27.0,4,151.0,90.0,2735,18.0,43
16.0,6,250.0,100.0,3781,17.0,51
13.0,8,400.0,170.0,4746,12.0,54
33.0,4,91.0,53.0,1795,17.5,50
22.0,4,140.0,72.0,2408,19.0,54
17.0,6,250.0,100.0,3329,15.5,54
17.5,6,258.0,95.0,3193,17.8,49
25.0,4,113.0,95.0,2228,14.0,54
19.0,6,232.0,100.0,2901,16.0,51
31.5,4,98.0,68.0,2045,18.5,48
16.9,8,350.0,155.0,4360,14.9,46
32.1,4,98.0,70.0,2120,15.5,45
32.4,4,108.0,75.0,2350,16.8,44
23.0,6,198.0,95.0,2904,16.0,52
20.0,4,140.0,90.0,2408,19.5,53
26.0,4,98.0,90.0,2265,15.5,52
20.3,5,131.0,103.0,2830,15.9,47
28.0,4,90.0,75.0,2125,14.5,51
30.0,4,111.0,80.0,2155,14.8,48
33.0,4,91.0,53.0,1795,17.4,49
19.0,6,232.0,100.0,2634,13.0,54
32.7,6,168.0,132.0,2910,11.4,45
24.0,4,119.0,97.0,2545,17.0,50
17.5,6,250.0,110.0,3520,16.4,48
11.0,8,400.0,150.0,4997,14.0,52
32.9,4,119.0,100.0,2615,14.8,44
33.5,4,151.0,90.0,2556,13.2,46
22.0,6,198.0,95.0,2833,15.5,55
16.0,8,318.0,150.0,4190,13.0,49
32.0,4,135.0,84.0,2295,11.6,43
34.5,4,105.0,70.0,2150,14.9,46
19.0,4,120.0,88.0,3270,21.9,49
17.6,6,225.0,85.0,3465,16.6,44
15.0,8,350.0,165.0,3693,11.5,55
20.0,4,114.0,91.0,2582,14.0,52
34.1,4,91.0,68.0,1985,16.0,44
15.0,8,304.0,150.0,3892,12.5,53
15.5,8,351.0,142.0,4054,14.3,46
32.2,4,108.0,75.0,2265,15.2,45
24.3,4,151.0,90.0,3003,20.1,45
15.0,8,400.0,150.0,3761,9.5,55
9.0,8,304.0,193.0,4732,18.5,55
21.0,6,231.0,110.0,3039,15.0,50
43.4,4,90.0,48.0,2335,23.7,45
29.8,4,134.0,90.0,2711,15.5,45
15.0,8,318.0,150.0,3777,12.5,52
23.0,8,350.0,125.0,3900,17.4,46
29.0,4,68.0,49.0,1867,19.5,52
11.0,8,429.0,208.0,4633,11.0,53
11.0,8,350.0,180.0,3664,11.0,52
18.0,6,232.0,100.0,2945,16.0,52
32.0,4,71.0,65.0,1836,21.0,51
30.0,4,146.0,67.0,3250,21.8,45
35.0,4,72.0,69.0,1613,18.0,54
20.6,6,231.0,105.0,3380,15.8,47
15.0,6,250.0,72.0,3432,21.0,50
44.3,4,90.0,48.0,2085,21.7,45
29.0,4,98.0,83.0,2219,16.5,51
34.7,4,105.0,63.0,2215,14.9,44
30.0,4,98.0,68.0,2155,16.5,47
14.0,8,304.0,150.0,4257,15.5,51
14.0,8,351.0,148.0,4657,13.5,50
26.0,4,97.0,78.0,2300,14.5,51
29.0,4,97.0,75.0,2171,16.0,50
37.2,4,86.0,65.0,2019,16.4,45
15.0,8,390.0,190.0,3850,8.5,55
19.0,6,250.0,100.0,3282,15.0,54
28.0,4,151.0,90.0,2678,16.5,45
25.5,4,140.0,89.0,2755,15.8,48
32.0,4,85.0,70.0,1990,17.0,49
18.0,3,70.0,90.0,2124,13.5,52
13.0,8,400.0,190.0,4422,12.5,53
40.8,4,85.0,65.0,2110,19.2,45
20.0,4,97.0,88.0,2279,19.0,52
15.0,8,318.0,150.0,3399,11.0,52
36.1,4,91.0,60.0,1800,16.4,47
23.7,3,70.0,100.0,2420,12.5,45
24.0,4,113.0,95.0,2278,15.5,53
23.0,4,120.0,88.0,2957,17.0,50
20.0,6,225.0,100.0,3651,17.7,49
13.0,8,400.0,175.0,5140,12.0,54
25.1,4,140.0,88.0,2720,15.4,47
13.0,8,400.0,150.0,4464,12.0,52
31.6,4,120.0,74.0,2635,18.3,44
12.0,8,429.0,198.0,4952,11.5,52
31.0,4,119.0,82.0,2720,19.4,43
13.0,8,440.0,215.0,4735,11.0,52
16.0,6,225.0,105.0,3439,15.5,54
18.0,6,232.0,100.0,3288,15.5,54
34.1,4,86.0,65.0,1975,15.2,46
32.0,4,83.0,61.0,2003,19.0,51
12.0,8,455.0,225.0,4951,11.0,52
19.9,8,260.0,110.0,3365,15.5,47
